6
101, 101, 1, 6, 5, còn chỗ, 1
2020000001, Nguyễn Văn A, Nam, 01/01/2002, 01/01/2023, 31/12/2023
2020000002, Nguyễn Văn B, Nam, 01/01/2002, 01/01/2023, 31/12/2023
2020000003, Nguyễn Văn C, Nam, 01/01/2002, 01/01/2023, 31/12/2024
2020000004, Nguyễn Văn D, Nam, 01/01/2002, 01/01/2023, 31/12/2023
SV4, Nguyễn Văn D, Nam, 01/01/2002, 30/05/2023, 31/08/2023
102, 102, 1, 6, 4, còn chỗ, 1
2020000005, Nguyễn Thị A, Nữ, 01/01/2002, 01/01/2023, 31/12/2023
2020000006, Nguyễn Thị B, Nữ, 01/01/2002, 01/01/2023, 31/12/2023
2020000007, Nguyễn Thị C, Nữ, 01/01/2002, 01/01/2023, 31/12/2023
2020000008, Nguyễn Thị D, Nữ, 01/01/2002, 01/01/2023, 31/12/2023
103, 103, 2, 6, 3, còn chỗ, 1
2020000009, Trần Thị A, Nữ, 01/01/2002, 01/01/2023, 31/12/2023
2020000010, Trần Thị B, Nữ, 01/01/2002, 01/01/2023, 31/12/2023
2020000011, Trần Thị C, Nữ, 01/01/2002, 01/01/2023, 31/12/2023
201, 201, 2, 6, 5, còn chỗ, 2
2020000012, Trần Văn A, Nam, 01/01/2002, 01/01/2023, 31/12/2023
2020000013, Trần Văn B, Nam, 01/01/2002, 01/01/2023, 31/12/2023
SV3, Nguyễn Thị C, Nam, 01/01/2002, 30/05/2023, 31/12/2023
SV5, Nguyễn Thị E, Nữ, 01/01/2002, 30/05/2023, 31/08/2023
SV6, Nguyễn Văn F, Nam, 01/01/2002, 30/05/2023, 31/07/2023
202, 202, 1, 6, 4, còn chỗ, 2
2020000016, Trần Văn E, Nam, 01/01/2002, 01/01/2023, 31/12/2023
2020000017, Trần Văn F, Nam, 01/01/2002, 01/01/2023, 31/12/2023
2020000018, Trần Văn G, Nam, 01/01/2002, 01/01/2023, 31/12/2023
2020000019, Trần Văn H, Nam, 01/01/2002, 01/01/2023, 31/12/2023
203, 203, 2, 6, 4, còn chỗ, 2
2020000020, Phạm Văn A, Nam, 01/01/2002, 01/01/2023, 31/12/2023
2020000021, Phạm Văn B, Nam, 01/01/2002, 01/01/2023, 31/12/2023
2020000022, Phạm Văn C, Nam, 01/01/2002, 01/01/2023, 31/12/2023
2020000023, Phạm Văn D, Nam, 01/01/2002, 01/01/2023, 31/12/2023
